Date,Open,High,Low,Close,Adj Close,Volume
2024-02-20,78.230003,78.419998,75.820000,76.599998,76.599998,24203100
2024-02-21,76.320000,77.489998,75.875000,76.440002,76.440002,15102100
2024-02-22,79.589996,79.720001,77.510002,78.029999,78.029999,16766400
2024-02-23,78.500000,78.970001,77.720001,78.199997,78.199997,15648800
2024-02-26,78.279999,78.500000,77.300003,78.360001,78.360001,16617300
2024-02-27,78.639999,79.750000,77.813004,78.750000,78.750000,13707300
2024-02-28,78.599998,78.660004,77.419998,77.730003,77.730003,11853100
2024-02-29,78.349998,79.680000,77.930000,79.500000,79.500000,19405500
2024-03-01,79.500000,81.470001,79.320000,81.029999,81.029999,18520800
2024-03-04,81.940002,82.139999,80.790001,81.300003,81.300003,15989200
2024-03-05,80.830002,80.849998,77.430000,79.089996,79.089996,19761600
2024-03-06,80.169998,80.989998,78.529999,78.639999,78.639999,13734700
2024-03-07,79.400002,80.074997,78.260002,79.410004,79.410004,13873300
2024-03-08,79.940002,81.980003,78.209999,78.699997,78.699997,16409100
2024-03-11,78.699997,78.889999,76.529999,77.470001,77.470001,13781400
2024-03-12,78.010002,78.480003,77.480003,78.320000,78.320000,11303800
2024-03-13,78.000000,79.691002,77.930000,78.250000,78.250000,12065100
2024-03-14,78.339996,78.480003,76.900002,77.650002,77.650002,12737200
2024-03-15,77.000000,77.839996,75.769997,76.070000,76.070000,24552000
2024-03-18,77.000000,77.000000,73.660004,75.699997,75.699997,18936700
2024-03-19,75.379997,77.180000,74.190002,77.080002,77.080002,13035200
2024-03-20,77.089996,78.949997,76.750000,78.639999,78.639999,11490400
2024-03-21,79.599998,81.230003,79.089996,80.250000,80.250000,16191100
2024-03-22,79.800003,80.449997,79.199997,80.230003,80.230003,8863500
2024-03-25,79.989998,81.040001,79.389999,79.410004,79.410004,10254300
2024-03-26,79.800003,80.180000,77.779999,77.910004,77.910004,12438300
2024-03-27,78.959999,79.000000,76.849998,78.110001,78.110001,13157000
2024-03-28,77.900002,78.050003,76.894997,76.989998,76.989998,13421900
2024-04-01,77.000000,77.779999,76.000000,76.400002,76.400002,12201800
2024-04-02,75.660004,77.330002,74.970001,76.980003,76.980003,15838800
2024-04-03,76.839996,78.849998,76.540001,76.809998,76.809998,19883100
2024-04-04,77.239998,77.669998,74.480003,74.919998,74.919998,17191300
2024-04-05,75.339996,78.394997,74.919998,77.160004,77.160004,21541300
2024-04-08,76.699997,76.860001,73.949997,75.029999,75.029999,22867600
2024-04-09,74.769997,75.500000,73.330002,75.139999,75.139999,13766800
2024-04-10,74.400002,75.305000,73.535004,74.349998,74.349998,12533900
2024-04-11,74.800003,76.559998,74.705002,76.180000,76.180000,13653600
2024-04-12,75.050003,75.820000,74.489998,75.279999,75.279999,11582600
2024-04-15,76.379997,76.680000,72.879997,73.400002,73.400002,16093400
2024-04-16,73.389999,74.699997,72.699997,74.129997,74.129997,14513100
2024-04-17,75.000000,75.614998,71.040001,71.940002,71.940002,15363100
2024-04-18,72.260002,72.855003,70.639999,71.300003,71.300003,20426000
2024-04-19,71.150002,71.150002,68.379997,69.199997,69.199997,23087600
2024-04-22,70.480003,70.889999,68.480003,68.980003,68.980003,26804900
2024-04-23,70.019997,71.139999,69.620003,70.800003,70.800003,16814200
2024-04-24,70.150002,70.220001,67.364998,69.360001,69.360001,27515600
2024-04-25,67.860001,70.290001,67.379997,69.309998,69.309998,20545200
2024-04-26,69.974998,70.150002,68.699997,69.050003,69.050003,16187600
2024-04-29,68.500000,68.660004,67.199997,67.400002,67.400002,20102600
2024-04-30,67.224998,68.598999,66.070000,66.269997,66.269997,22707300
2024-05-01,66.040001,69.410004,65.860001,67.790001,67.790001,21266700
2024-05-02,68.400002,69.036003,67.625000,68.570000,68.570000,18229300
2024-05-03,69.845001,70.338997,69.029999,69.230003,69.230003,15557700
2024-05-06,71.000000,73.820000,70.832001,71.510002,71.510002,25001900
2024-05-07,72.639999,72.639999,69.800003,70.430000,70.430000,24427300
2024-05-08,64.500000,67.199997,63.834999,66.400002,66.400002,84220000
2024-05-09,66.809998,68.570000,66.750000,67.930000,67.930000,27965500
2024-05-10,67.820000,67.900002,66.400002,66.989998,66.989998,18924400
2024-05-13,67.000000,67.064003,64.720001,66.019997,66.019997,18983100
2024-05-14,65.849998,66.099998,64.750000,65.320000,65.320000,19462300
2024-05-15,66.000000,66.660004,65.220001,66.620003,66.620003,16308700
2024-05-16,66.970001,67.330002,66.000000,66.050003,66.050003,19923500
2024-05-17,66.500000,66.639999,65.519997,65.669998,65.669998,15703300
2024-05-20,65.639999,65.870003,64.305000,64.650002,64.650002,15864400
2024-05-21,64.129997,64.650002,63.810001,63.970001,63.970001,16592500
2024-05-22,64.820000,66.089996,64.519997,65.480003,65.480003,22562100
2024-05-23,65.559998,65.800003,63.250000,63.599998,63.599998,20115000
2024-05-24,63.779999,64.760002,63.619999,64.260002,64.260002,10380500
2024-05-28,64.610001,64.610001,63.099998,63.520000,63.520000,14213300
2024-05-29,63.009998,65.364998,62.910000,64.930000,64.930000,16987900
2024-05-30,64.790001,65.410004,63.720001,64.120003,64.120003,12692500
2024-05-31,64.199997,64.629997,63.139999,64.559998,64.559998,17322400
2024-06-03,64.779999,64.959999,62.935001,63.790001,63.790001,14922200
2024-06-04,64.059998,65.190002,63.700001,64.550003,64.550003,12689200
2024-06-05,64.940002,66.279999,64.209999,65.820000,65.820000,19513500
2024-06-06,67.449997,69.690002,67.330002,68.900002,68.900002,25871500
2024-06-07,68.900002,69.709999,68.110001,69.309998,69.309998,13932600
2024-06-10,69.279999,69.691002,66.559998,68.599998,68.599998,19168900
2024-06-11,68.599998,69.599998,67.760002,69.589996,69.589996,12741200
2024-06-12,71.309998,73.599998,71.000000,73.150002,73.150002,24435500
2024-06-13,73.160004,73.160004,70.239998,70.860001,70.860001,16978100
